Starting Container
 INFO  Accepting connections at http://0.0.0.0:80
 HTTP  3/29/2026 2:57:23 PM 100.64.0.2 GET /
 HTTP  3/29/2026 2:57:23 PM 100.64.0.2 Returned 200 in 24 ms
 HTTP  3/29/2026 3:47:09 PM 100.64.0.3 GET /robots.txt
 HTTP  3/29/2026 3:47:09 PM 100.64.0.3 Returned 200 in 4 ms
 HTTP  3/29/2026 3:47:09 PM 100.64.0.4 GET /assets/index-lBV9736M.js
 HTTP  3/29/2026 3:47:09 PM 100.64.0.4 Returned 200 in 5 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.5 GET /directory?tab=clubs
 HTTP  3/29/2026 4:16:11 PM 100.64.0.5 Returned 200 in 1 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.5 GET /assets/index-lBV9736M.js
 HTTP  3/29/2026 4:16:11 PM 100.64.0.5 Returned 200 in 1 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.6 GET /assets/index-BW20AXg5.css
 HTTP  3/29/2026 4:16:11 PM 100.64.0.7 GET /assets/vendor-react-BSuJhS92.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 GET /teamreel-icon.svg
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 Returned 200 in 5 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.6 GET /assets/ContentShareSheet-CDp5s6HQ.css
 HTTP  3/29/2026 4:16:11 PM 100.64.0.8 GET /assets/vendor-D-ZbmMQ9.js
 HTTP  3/29/2026 4:16:11 PM 100.64.0.9 GET /assets/vendor-recharts-D_B3-s2v.js
 HTTP  3/29/2026 4:16:11 PM 100.64.0.10 GET /assets/vendor-icons-DD08WzS9.js
 HTTP  3/29/2026 4:16:11 PM 100.64.0.10 Returned 200 in 7 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.9 Returned 200 in 8 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.6 Returned 200 in 14 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.8 Returned 200 in 14 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.7 Returned 200 in 17 ms
 HTTP  3/29/2026 4:16:11 PM 100.64.0.11 GET /manifest.json
 HTTP  3/29/2026 4:16:11 PM 100.64.0.11 Returned 200 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 GET /assets/ContentShareSheet-CP-8dDM-.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 GET /assets/contentLibraryTypes-DqMMcDjV.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 GET /assets/AIStudioPage-BGT31vu1.css
 HTTP  3/29/2026 4:16:12 PM 100.64.0.6 GET /assets/PreferencesModals-DmaZ-Sd0.css
 HTTP  3/29/2026 4:16:12 PM 100.64.0.6 Returned 200 in 4 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 GET /assets/SwipeableCard-Bui3fHtT.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/MobileTabBar-DzKHO-XR.css
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 Returned 200 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 GET /assets/ContentIcon-B_TsnP72.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 Returned 200 in 4 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 Returned 200 in 4 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 GET /assets/ApprovalsPage-Dpt9joAb.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 Returned 200 in 4 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/AIStudioPage-zVBvRIpw.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 Returned 200 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.6 Returned 200 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 200 in 7 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 GET /assets/Badge-B30p9VQF.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 Returned 200 in 5 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 GET /assets/PreferencesModals-CwPZZcr4.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 Returned 200 in 6 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.5 Returned 200 in 8 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 GET /assets/useVideoJobs-D0hTjcfN.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 GET /assets/useWorkflows-Dh0M1Lqk.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.6 GET /assets/Input-CpxzOXNp.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/ProfileHubPage-9vR0ogPq.css
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 200 in 8 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 Returned 200 in 9 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 Returned 200 in 9 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 GET /assets/WorkflowStatusBadge-CMnWO3yk.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/ProfileHubPage-C32_-ADS.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 200 in 6 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 Returned 200 in 10 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 GET /assets/ApprovalsPage-B5nOqoEI.css
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/MobileTabBar-CTu9Dujm.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.5 GET /assets/SlotIcon-BYAJK9Pn.js
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 GET /assets/contentLibraryTypes-DqMMcDjV.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 GET /assets/AIStudioPage-zVBvRIpw.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 Returned 200 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 GET /assets/vendor-D-ZbmMQ9.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 GET /assets/vendor-recharts-D_B3-s2v.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/index-lBV9736M.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/vendor-react-BSuJhS92.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 Returned 304 in 4 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 GET /assets/vendor-icons-DD08WzS9.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 Returned 200 in 6 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.6 Returned 200 in 7 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 200 in 7 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 Returned 200 in 9 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 Returned 200 in 8 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 GET /favicon.svg
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 GET /teamreel-icon.svg
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 Returned 304 in 1 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.7 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 GET /assets/ProfileHubPage-C32_-ADS.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.8 GET /assets/PreferencesModals-CwPZZcr4.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 GET /assets/ApprovalsPage-Dpt9joAb.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 GET /assets/SwipeableCard-Bui3fHtT.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.7 GET /assets/Input-CpxzOXNp.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 Returned 304 in 4 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:12 PM 100.64.0.14 GET /assets/MobileTabBar-CTu9Dujm.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.13 GET /assets/useVideoJobs-D0hTjcfN.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 GET /assets/useWorkflows-Dh0M1Lqk.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.12 GET /assets/ContentShareSheet-CP-8dDM-.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.10 GET /assets/Badge-B30p9VQF.js.map
 HTTP  3/29/2026 4:16:12 PM 100.64.0.9 GET /assets/ContentIcon-B_TsnP72.js.map
